ID,Field1,Field2,Field3,Field4
1,provider_id,detail,source,event_time
2,6873f0af240706d65514ec247c64f330,{u'mme': False},job_responded,2017-09-01 00:00:00.000000
3,a5a021d997269c4f1846903ff0f5d737,"{u'lat': 18.9810108, u'long': 72.8187476}",location_tracking,2017-09-01 00:00:02.000000
4,77af6d6d6db530c389ec1014d557a01e,{u'mme': False},decline_request,2017-09-01 00:00:05.000000
5,7ea218c2b9a6dada27e0d5bdf5f896de,{u'mme': False},decline_request,2017-09-01 00:00:12.000000
6,0d7a9d9c00231885b413175980a9beca,"{u'lat': 12.9959477, u'long': 77.6527175}",location_tracking,2017-09-01 00:00:15.000000
7,b72c9eeb4c52a2bdb7c4a8fe09871ec8,"{u'lat': 19.0258816, u'long': 72.8727786}",location_tracking,2017-09-01 00:00:20.000000
8,fd385a93b517e41f5ae906be5213f0b0,"{u'lat': 18.5398284, u'long': 73.7821132}",location_tracking,2017-09-01 00:00:23.000000
9,f1be9a4ebf57391f046464144a20fd36,{u'mme': False},job_responded,2017-09-01 00:00:27.000000
10,b75bfbcf611c0839203d1cf91e7f939f,"{u'lat': 28.6127377, u'long': 77.0279653}",location_tracking,2017-09-01 00:00:39.000000
11,4a84dfccb634d0b18bfcf14a60f5672c,"{u'lat': 28.7049018, u'long': 77.3234317}",location_tracking,2017-09-01 00:00:47.000000
12,44f11b351f554bb6f564c9cd7c861645,{u'mme': False},job_responded,2017-09-01 00:00:48.000000
13,18718c56ffd665f10a41336e71c94ff7,"{u'mme': False, u'requestID': u'59a82b992db8d25d00c2886e', u'paf': False}",other-provider-accepted-wave-zero,2017-09-01 00:00:48.000000
14,d43fbfbb539c2998bc2229ae35ae6375,"{u'mme': False, u'requestID': u'59a82b992db8d25d00c2886e', u'paf': False}",other-provider-accepted-wave-zero,2017-09-01 00:00:48.000000
15,4da38b70324ea165ea75ee33ac204211,"{u'mme': False, u'requestID': u'59a82b992db8d25d00c2886e', u'paf': False}",other-provider-accepted-wave-zero,2017-09-01 00:00:48.000000
16,5adcaf24a6dcda9da5caf190d2313920,"{u'mme': False, u'requestID': u'59a82b992db8d25d00c2886e', u'paf': False}",other-provider-accepted-wave-zero,2017-09-01 00:00:48.000000
17,14f9fd4d994e8cedcc092cc67c74358c,"{u'mme': False, u'requestID': u'59a82b992db8d25d00c2886e', u'paf': False}",other-provider-accepted-wave-zero,2017-09-01 00:00:48.000000
18,b42f946f1ff457a3d432b2e247221b45,"{u'mme': False, u'requestID': u'59a82b992db8d25d00c2886e', u'paf': False}",other-provider-accepted-wave-zero,2017-09-01 00:00:48.000000
19,8dbc1d48cc06ca9f498abf9cfe4ce878,"{u'mme': False, u'requestID': u'59a82b992db8d25d00c2886e', u'paf': False}",other-provider-accepted-wave-zero,2017-09-01 00:00:48.000000
20,dd4808d967848f73d9f2b7cfa8d75ad5,"{u'mme': False, u'requestID': u'59a82b992db8d25d00c2886e', u'paf': False}",other-provider-accepted-wave-zero,2017-09-01 00:00:48.000000
21,b1a254fd3392d7e4c896519a0e981ce5,"{u'mme': False, u'requestID': u'59a82b992db8d25d00c2886e', u'paf': False}",other-provider-accepted-wave-zero,2017-09-01 00:00:48.000000
22,f9b4160fbac3e29eb72f4d39a4c60d6c,"{u'mme': False, u'requestID': u'59a82b992db8d25d00c2886e', u'paf': False}",other-provider-accepted-wave-zero,2017-09-01 00:00:48.000000
23,d68f753e5b1b3f39a3830995222f1af0,"{u'mme': False, u'requestID': u'59a82b992db8d25d00c2886e', u'paf': False}",other-provider-accepted-wave-zero,2017-09-01 00:00:48.000000
24,cd76c1bd43177ccfd5ebfeedd82f218c,"{u'mme': False, u'requestID': u'59a82b992db8d25d00c2886e', u'paf': False}",other-provider-accepted-wave-zero,2017-09-01 00:00:48.000000
25,98324f194ceb74983f1d9a1e5b240d90,"{u'mme': False, u'requestID': u'59a82b992db8d25d00c2886e', u'paf': False}",other-provider-accepted-wave-zero,2017-09-01 00:00:48.000000
26,52569a2fcbfa4f09258ba378018a2a65,"{u'mme': False, u'requestID': u'59a82b992db8d25d00c2886e', u'paf': False}",other-provider-accepted-wave-zero,2017-09-01 00:00:48.000000
27,32eda13743d31dde53f0d5d19864c294,"{u'mme': False, u'requestID': u'59a82b992db8d25d00c2886e', u'paf': False}",other-provider-accepted-wave-zero,2017-09-01 00:00:48.000000
28,0fc3905d83b9c87e480b83fdf2d2d35f,"{u'mme': False, u'requestID': u'59a82b992db8d25d00c2886e', u'paf': False}",other-provider-accepted-wave-zero,2017-09-01 00:00:48.000000
29,77af6d6d6db530c389ec1014d557a01e,{u'mme': False},decline_request,2017-09-01 00:00:53.000000
30,4f3453ed4dd693aebe3532d0f3da717f,{u'mme': True},manual,2017-09-01 00:01:00.000000
31,77af6d6d6db530c389ec1014d557a01e,{u'mme': False},decline_request,2017-09-01 00:01:00.000000
32,72da31acf3cb317a640309de031dba1d,{u'mme': True},manual,2017-09-01 00:01:07.000000
33,4f3453ed4dd693aebe3532d0f3da717f,"{u'lat': 28.5641321, u'long': 77.3774819}",location_tracking,2017-09-01 00:01:07.000000
34,77af6d6d6db530c389ec1014d557a01e,{u'mme': False},decline_request,2017-09-01 00:01:14.000000
35,5f94b95c109d3ec66f93d90dfa0e963b,"{u'lat': 13.1394251, u'long': 80.2803293}",location_tracking,2017-09-01 00:01:21.000000
36,5fe6bdb1516ba891e1120e5710f99a0d,"{u'lat': 28.4755437, u'long': 77.3188962}",location_tracking,2017-09-01 00:01:22.000000
37,f283267a59e87510cdfb8b922f8222c5,"{u'lat': 22.4633422, u'long': 88.343514}",location_tracking,2017-09-01 00:01:38.000000
